id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	30.0	103.5	36.5	0	0	200	75	1.7	0.7445277766259428,0.8649392027920182,0.737428399119345,1
2	spot	79.67894736842106	103.5	94.0	0	0	200	90	1.7	0.7445277766259428,0.8649392027920182,0.737428399119345,1
3	spot	30.0	103.5	151.5	0	0	200	60	1.7	0.7445277766259428,0.8649392027920182,0.737428399119345,1
3	spot	-62.452631578947376	103.5	170.7631578947368	40	270	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
4	spot	5.0	103.5	170.7631578947368	40	270	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
5	spot	72.45263157894738	103.5	170.7631578947368	40	270	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
6	spot	56.17894736842106	103.5	193.9578947368421	40	0	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
7	spot	56.17894736842106	103.5	116.84210526315788	40	0	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
8	spot	56.17894736842106	103.5	39.7263157894737	40	0	200	25	2.0	0.7445277766259428,0.8649392027920182,0.737428399119345,1
9	spot	0	103.5	115.67368421052629	60	180	200	40	3.6	0.7445277766259428,0.8649392027920182,0.737428399119345,1
